"Title","Address","Address.2","Suburb","Postcode","Latitude","Longitude","Phone","Website","LGA"
"Acacia Ridge Community Centre","21 Hanify St","","Acacia Ridge",4110,-27.579754,153.019768,"07 3277 4893","https://belong.org.au/","Brisbane (C)"
"Annerley Community Service","26 Devon Street","","Yeronga",4104,-27.51684,153.01617,"0488 084 633","https://communityplus.org.au/annerley-community-service/","Brisbane (C)"
"Bay Islands Community Services","55 Jackson Rd","","Russell Island",4184,-27.658954,153.371791,"07 3409 1177","https://bics.org.au/","Redland (C)"
"Beaudesert Community Centre","44 Tina St","","Beaudesert",4285,-27.988909,153.001686,"07 5541 4216","http://www.beaucare.org.au/community-services.html","Scenic Rim (R)"
"Beenleigh Neighbourhood Centre","10 James St","","Beenleigh",4207,-27.7172417,153.2009612,"07 3287 2840","http://beenleigh.org.au/","Logan (C)"
"Benarrawa Community Development Association","79 Waratah Ave","","Graceville",4075,-27.518651,152.985055,"07 3379 9925","https://www.facebook.com/Benarrawa/","Brisbane (C)"
"Better Together Community Support","38 Mabel Street","","Atherton",4883,-17.26653,145.477406,"07 4091 3850","http://www.cst.org.au/","Tablelands (R)"
"Blackall Neighbourhood Centre","6 Coronation Drive","","Blackall",4472,-24.4246065,145.4648936,"07 4621 6600","http://www.btrc.qld.gov.au/blackall-neighbourhood-centre","Blackall-Tambo (R)"
"Boulia Community Support Service","Lot 606 Moonah St","","Boulia",4829,-22.908359,139.909389,"07 4746 3700","https://www.facebook.com/bouliacommunitysupportservices/","Boulia (S)"
"Bowen Neighbourhood Centre","20 Williams St","","Bowen",4805,-20.012083,148.248102,"07 4786 2111","http://bowenneighbourhoodcentre.org.au/","Whitsunday (R)"
"Bribie Island Neighbourhood Centre","9 Verdoni St","","Bellara",4507,-27.064283,153.153121,"07 3408 8440","","Moreton Bay (R)"
"Brilla Brilla Centre (Community Support Service)","1 Violet St","","Healy",4825,-20.739235,139.494793,"07 4743 7671","","Mount Isa (C)"
"Bundaberg and District Neighbourhood Centre","111 Targo St","","Bundaberg South",4670,-24.87489,152.353649,"07 4153 1614","http://www.kenalwynbnc.org.au/","Bundaberg (R)"
"Burdekin Community Association Community Support Service","130 Queen St","The Support Centre - Old National Bank Building","Ayr",4807,-19.575358,147.406302,"07 4783 3744","http://www.burdekincommunityassociation.org.au/","Burdekin (S)"
"Burdekin Neighbourhood Centre Association","40 Chippendale St","","Ayr",4807,-19.567064,147.411513,"07 4783 4243","http://thebnc.org.au/","Burdekin (S)"
"Caboolture Neighbourhood Centre","9 George St","","Caboolture",4510,-27.083784,152.94914,"07 5428 1404","http://www.caboolturenhc.com.au/","Moreton Bay (R)"
"Caloundra Community Centre","58a Queen St","","Caloundra",4551,-26.794403,153.130271,"07 5491 4000","https://www.caloundracommunitycentre.org/","Sunshine Coast (R)"
"Cannon Hill Community Centre","18 Lang St","","Cannon Hill",4170,-27.468426,153.080048,"07 3517 2424","https://www.ymcabrisbane.org/services/community-centres/cannon-hill","Brisbane (C)"
"Capella Tieri Middlemount Community Support Network","26 Talagai Ave","","Tieri",4709,-23.03484,148.34229,"07 4984 8349","","Central Highlands (R) (Qld)"
"Care Balonne Community Support Service","84-86 Victoria St","","St George",4487,-28.035219,148.583589,"07 4625 5450","https://www.carebalonne.com/","Balonne (S)"
"Care Goondiwindi Association","111 Callandoon","","Goondiwindi",4390,-28.54631,150.31343,"07 4670 0700","https://caregoondiwindi.org.au/","Goondiwindi (R)"
"Centacare Family and Relationship Services  Kingaroy","15 Albert St","","Kingaroy",4610,-26.536998,151.840948,"07 4162 5439","https://centacare.com/location/centacare-family-and-relationship-services-kingaroy/","South Burnett (R)"
"Charleville Neighbourhood Centre","114-118  Alfred St","","Charleville",4470,-26.400514,146.2415615,"07 4654 1307","https://neighbourhoodcentre.wixsite.com/cdcsai","Murweh (S)"
"Charters Towers Neighbourhood Centre","3 Powell Lane","","Charters Towers City",4820,-20.07757,146.257649,"07 4787 4797","https://www.prospect.org.au/","Charters Towers (R)"
"Childers Neighbourhood Centre","69 Churchill St","","Childers",4660,-25.236133,152.277531,"07 4130 4690","https://www.bundaberg.qld.gov.au/neighbourhood-centres-1/childers-neighbourhood-centre","Bundaberg (R)"
"Chinchilla Community Centre","71 Middle St","","Chinchilla",4413,-26.7428658,150.6271319,"07 4662 8528","https://www.chinchillacommunitycentre.org/","Western Downs (R)"
"Cloncurry Neighbourhood Centre","57 Sheaffe St","","Cloncurry",4824,-20.706394,140.505009,"1300 672 273","https://www.centacarenq.org.au/centres/cloncurry/","Cloncurry (S)"
"CO.AS.IT. Community Services Inc","473 Lutwyche Road","","Lutwyche",4010,-27.423892,153.03394,"07 3624 6100","http://www.coasit.asn.au/","Brisbane (C)"
"Coastal Community Development Service","36 Macartney St","","St Lawrence",4707,-22.346026,149.53664,"07 4964 5400","","Isaac (R)"
"Collinsville Community Association","81 Garrick St","Collinsville Hospital","Collinsville",4804,-20.5464542,147.8375859,"07 4785 5965","https://www.facebook.com/collinsvillecommunityassociation/","Whitsunday (R)"
"Community Support Centre Innisfail","13-17 Donald St","","Innisfail",4860,-17.521646,146.024086,"07 4043 8400","http://www.csci.org.au/","Cassowary Coast (R)"
"Cooktown District Community Centre","11 Charles St","","Cooktown",4895,-15.480138,145.252896,"07 4069 6098","https://www.facebook.com/CooktownDCC/","Cook (S)"
"Crestmead Community Centre","1 Gimlet St","","Crestmead",4132,-27.689197,153.092232,"07 3805 4100","https://www.pcyc.org.au/clubs/pcyc-crestmead/","Logan (C)"
"Deception Bay Neighbourhood Centre","D24 Endeavour St","","Deception Bay",4508,-27.184408,153.026318,"07 3204 2022","http://www.dbnc.org.au/","Moreton Bay (R)"
"Discovery Coast Community Support Service","71 Springs Rd","","Agnes Water",4677,-24.21153,151.910173,"0429 498 666","","Gladstone (R)"
