Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"LGA (UR) by OCCP - 2 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default summation","Persons Place of Usual Residence"

"Counting","LGA (UR)","OCCP - 2 Digit Level","Count",
"Persons Place of Usual Residence","Yarrabah (S)","Managers, nfd",0
"Persons Place of Usual Residence","Yarrabah (S)","Chief Executives, General Managers and Legislators",8
"Persons Place of Usual Residence","Yarrabah (S)","Farmers and Farm Managers",0
"Persons Place of Usual Residence","Yarrabah (S)","Specialist Managers",9
"Persons Place of Usual Residence","Yarrabah (S)","Hospitality, Retail and Service Managers",5
"Persons Place of Usual Residence","Yarrabah (S)","Professionals, nfd",0
"Persons Place of Usual Residence","Yarrabah (S)","Arts and Media Professionals",0
"Persons Place of Usual Residence","Yarrabah (S)","Business, Human Resource and Marketing Professionals",8
"Persons Place of Usual Residence","Yarrabah (S)","Design, Engineering, Science and Transport Professionals",10
"Persons Place of Usual Residence","Yarrabah (S)","Education Professionals",20
"Persons Place of Usual Residence","Yarrabah (S)","Health Professionals",9
"Persons Place of Usual Residence","Yarrabah (S)","ICT Professionals",0
"Persons Place of Usual Residence","Yarrabah (S)","Legal, Social and Welfare Professionals",9
"Persons Place of Usual Residence","Yarrabah (S)","Technicians and Trades Workers, nfd",0
"Persons Place of Usual Residence","Yarrabah (S)","Engineering, ICT and Science Technicians",0
"Persons Place of Usual Residence","Yarrabah (S)","Automotive and Engineering Trades Workers",5
"Persons Place of Usual Residence","Yarrabah (S)","Construction Trades Workers",19
"Persons Place of Usual Residence","Yarrabah (S)","Electrotechnology and Telecommunications Trades Workers",0
"Persons Place of Usual Residence","Yarrabah (S)","Food Trades Workers",0
"Persons Place of Usual Residence","Yarrabah (S)","Skilled Animal and Horticultural Workers",9
"Persons Place of Usual Residence","Yarrabah (S)","Other Technicians and Trades Workers",0
"Persons Place of Usual Residence","Yarrabah (S)","Community and Personal Service Workers, nfd",0
"Persons Place of Usual Residence","Yarrabah (S)","Health and Welfare Support Workers",31
"Persons Place of Usual Residence","Yarrabah (S)","Carers and Aides",51
"Persons Place of Usual Residence","Yarrabah (S)","Hospitality Workers",0
"Persons Place of Usual Residence","Yarrabah (S)","Protective Service Workers",8
"Persons Place of Usual Residence","Yarrabah (S)","Clerical and Administrative Workers, nfd",0
"Persons Place of Usual Residence","Yarrabah (S)","Office Managers and Program Administrators",4
"Persons Place of Usual Residence","Yarrabah (S)","Personal Assistants and Secretaries",0
"Persons Place of Usual Residence","Yarrabah (S)","General Clerical Workers",8
"Persons Place of Usual Residence","Yarrabah (S)","Inquiry Clerks and Receptionists",7
"Persons Place of Usual Residence","Yarrabah (S)","Numerical Clerks",4
"Persons Place of Usual Residence","Yarrabah (S)","Clerical and Office Support Workers",6
"Persons Place of Usual Residence","Yarrabah (S)","Other Clerical and Administrative Workers",3
"Persons Place of Usual Residence","Yarrabah (S)","Sales Workers, nfd",0
"Persons Place of Usual Residence","Yarrabah (S)","Sales Representatives and Agents",0
"Persons Place of Usual Residence","Yarrabah (S)","Sales Assistants and Salespersons",6
"Persons Place of Usual Residence","Yarrabah (S)","Sales Support Workers",0
"Persons Place of Usual Residence","Yarrabah (S)","Machinery Operators and Drivers, nfd",0
"Persons Place of Usual Residence","Yarrabah (S)","Machine and Stationary Plant Operators",5
"Persons Place of Usual Residence","Yarrabah (S)","Mobile Plant Operators",0
"Persons Place of Usual Residence","Yarrabah (S)","Road and Rail Drivers",4
"Persons Place of Usual Residence","Yarrabah (S)","Storepersons",0
"Persons Place of Usual Residence","Yarrabah (S)","Labourers, nfd",3
"Persons Place of Usual Residence","Yarrabah (S)","Cleaners and Laundry Workers",22
"Persons Place of Usual Residence","Yarrabah (S)","Construction and Mining Labourers",5
"Persons Place of Usual Residence","Yarrabah (S)","Factory Process Workers",0
"Persons Place of Usual Residence","Yarrabah (S)","Farm, Forestry and Garden Workers",7
"Persons Place of Usual Residence","Yarrabah (S)","Food Preparation Assistants",0
"Persons Place of Usual Residence","Yarrabah (S)","Other Labourers",8
"Persons Place of Usual Residence","Yarrabah (S)","Sports and Personal Service Workers",0
"Persons Place of Usual Residence","Yarrabah (S)","Total",318
"Persons Place of Usual Residence","Wujal Wujal (S)","Managers, nfd",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Chief Executives, General Managers and Legislators",3
"Persons Place of Usual Residence","Wujal Wujal (S)","Farmers and Farm Managers",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Specialist Managers",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Hospitality, Retail and Service Managers",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Professionals, nfd",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Arts and Media Professionals",5
"Persons Place of Usual Residence","Wujal Wujal (S)","Business, Human Resource and Marketing Professionals",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Design, Engineering, Science and Transport Professionals",3
"Persons Place of Usual Residence","Wujal Wujal (S)","Education Professionals",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Health Professionals",4
"Persons Place of Usual Residence","Wujal Wujal (S)","ICT Professionals",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Legal, Social and Welfare Professionals",4
"Persons Place of Usual Residence","Wujal Wujal (S)","Technicians and Trades Workers, nfd",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Engineering, ICT and Science Technicians",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Automotive and Engineering Trades Workers",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Construction Trades Workers",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Electrotechnology and Telecommunications Trades Workers",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Food Trades Workers",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Skilled Animal and Horticultural Workers",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Other Technicians and Trades Workers",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Community and Personal Service Workers, nfd",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Health and Welfare Support Workers",7
"Persons Place of Usual Residence","Wujal Wujal (S)","Carers and Aides",12
"Persons Place of Usual Residence","Wujal Wujal (S)","Hospitality Workers",0
