Australian Bureau of Statistics

"2011 Census - Employment, Income and Unpaid Work"
"LGA by OCCP - 2 Digit Level"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default summation","Persons, Place of Usual Residence"

"OCCP - 2 Digit Level","Managers nfd","Chief Executives, General Managers and Legislators","Farmers and Farm Managers","Specialist Managers","Hospitality, Retail and Service Managers","Professionals nfd","Arts and Media Professionals","Business, Human Resource and Marketing Professionals","Design, Engineering, Science and Transport Professionals","Education Professionals","Health Professionals","ICT Professionals","Legal, Social and Welfare Professionals","Technicians and Trades Workers nfd","Engineering, ICT and Science Technicians","Automotive and Engineering Trades Workers","Construction Trades Workers","Electrotechnology and Telecommunications Trades Workers","Food Trades Workers","Skilled Animal and Horticultural Workers","Other Technicians and Trades Workers","Community and Personal Service Workers nfd","Health and Welfare Support Workers","Carers and Aides","Hospitality Workers","Protective Service Workers","Sports and Personal Service Workers","Clerical and Administrative Workers nfd","Office Managers and Program Administrators","Personal Assistants and Secretaries","General Clerical Workers","Inquiry Clerks and Receptionists","Numerical Clerks","Clerical and Office Support Workers","Other Clerical and Administrative Workers","Sales Workers nfd","Sales Representatives and Agents","Sales Assistants and Salespersons","Sales Support Workers","Machinery Operators and Drivers nfd","Machine and Stationary Plant Operators","Mobile Plant Operators","Road and Rail Drivers","Storepersons","Labourers nfd","Cleaners and Laundry Workers","Construction and Mining Labourers","Factory Process Workers","Farm, Forestry and Garden Workers","Food Preparation Assistants","Other Labourers","Total",
"LGA",
"Aurukun (S)",0,5,0,7,5,0,10,3,4,29,6,0,9,0,3,0,4,0,3,3,0,0,7,16,0,14,0,0,3,0,6,0,0,0,3,0,0,11,4,0,7,0,3,3,21,11,11,0,9,0,5,221,
"Balonne (S)",3,11,440,50,92,0,0,28,42,90,68,0,15,6,12,82,26,28,43,41,24,0,25,94,24,17,7,0,34,17,51,16,56,19,19,0,22,116,16,7,55,132,66,3,28,72,40,6,176,18,41,2249,
"Banana (S)",5,21,1062,183,219,0,8,109,171,258,156,5,35,13,164,523,94,164,101,56,122,0,60,258,85,28,26,6,121,63,162,64,146,45,80,0,40,320,82,31,685,168,265,48,28,275,112,269,241,79,131,7407,
"Barcaldine (R)",0,9,356,42,67,0,7,12,23,58,44,0,8,3,32,52,49,15,24,16,16,0,26,52,16,7,10,0,31,7,32,11,31,16,15,0,10,64,7,3,26,77,53,3,9,49,52,3,163,10,14,1622,
"Barcoo (S)",0,0,55,4,7,0,0,0,5,8,3,0,0,0,0,6,3,0,4,0,0,0,0,7,4,0,0,0,0,3,5,0,3,3,7,0,0,0,0,0,4,10,5,0,0,14,4,0,38,0,0,215,
"Blackall Tambo (R)",3,5,213,22,57,0,6,3,7,38,31,0,5,0,9,22,21,15,23,14,4,0,15,44,8,8,4,0,17,9,20,6,26,15,8,0,11,59,11,0,23,43,36,0,10,36,36,12,117,13,17,1103,
"Boulia (S)",0,0,48,6,11,0,0,4,3,5,0,0,0,0,3,8,5,0,8,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,3,0,3,10,14,0,0,3,6,0,46,0,5,222,
"Brisbane (C)",2160,6213,460,38671,20411,2763,4447,39521,27333,26289,30627,13282,12504,836,12183,10319,10652,8480,7150,3226,7387,65,4248,17155,12751,6982,8247,1037,15881,6662,15583,12248,18079,4893,12855,215,11160,28550,8304,240,4504,3632,9600,5211,870,9688,4245,7316,1440,6903,7290,530769,
"Bulloo (S)",0,0,39,8,12,0,0,0,7,6,0,0,0,0,4,13,0,0,10,10,5,0,0,4,3,3,0,0,4,3,8,0,9,3,0,0,0,3,0,0,4,13,7,0,4,3,3,0,35,0,0,238,
"Bundaberg (R)",75,166,1371,1141,1397,17,105,709,446,1566,1590,82,354,47,579,1421,935,663,492,335,540,8,408,1864,578,291,304,18,704,275,974,585,869,292,464,9,490,2513,585,52,789,713,1241,156,125,977,568,899,1350,521,788,33442,
